WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
611,DJI,GGXCNL_NGDP,Djibouti,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.257,-0.863,-6.138,-7.104,-4.969,-5.135,-1.767,-2.86,-3.595,-5.201,-3.977,-3.609,-4.568,-4.138,-3.671,-1.179,0.262,-1.883,0.623,-3.886,-1.045,-1.186,-2.044,-4.249,-6.872,-15.32,-8.26,-4.505,-2.868,-1.508,-1.669,-2.4,-0.789,-0.911,-1.009,2018
321,DMA,GGXCNL_NGDP,Dominica,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-4.66,-2.987,-2.224,-1.409,-3.354,-2.88,-1.59,-2.24,-5.99,-9.176,-8.661,-6.544,-4.071,0.85,-0.673,0.947,2.928,1.798,0.7,-0.309,-3.383,-4.402,-5.394,-2.863,-4.59,11.888,14.774,0.599,-12.887,-7.948,-4.894,1.714,-0.579,3.077,3.133,2019
243,DOM,GGXCNL_NGDP,Dominican Republic,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.144,-0.771,-1.299,-1.395,-1.629,-1.809,-6.187,-3.447,-0.403,-0.942,0.105,-3.25,-3.017,-2.729,-3.05,-6.56,-3.472,-2.743,-0.008,-3.083,-3.261,-2.302,-3.089,-2.725,-2.591,-2.654,-2.665,-2.74,2018
248,ECU,GGXCNL_NGDP,Ecuador,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-1.937,-3.292,-2.704,-4.88,-4.617,-0.307,0.031,0.699,0.998,1.867,0.641,2.852,2.598,0.562,-3.57,-1.357,-0.127,-0.937,-4.57,-5.224,-6.119,-8.232,-4.462,-1.2,-0.034,2.591,2.682,2.481,2.859,2.803,2018
469,EGY,GGXCNL_NGDP,Egypt,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.135,1.32,-1.07,-6.768,-5.729,-5.762,-6.687,-7.355,-4.899,-6.049,-6.195,-7.447,-9.6,-10.005,-12.927,-11.286,-10.934,-12.47,-10.429,-9.41,-7.616,-7.029,-4.757,-3.755,-3.326,-3.323,2018
253,SLV,GGXCNL_NGDP,El Salvador,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.85,-3.089,-4.332,-1.174,-0.414,-0.183,-1.941,-0.921,-1.791,-3.35,-4.663,-4.365,-4.039,-4.627,-3.151,-3.456,-2.94,-2.182,-3.19,-6.515,-5.143,-4.673,-4.389,-4.064,-3.733,-3.514,-2.925,-2.397,-2.53,-3.137,-3.198,-2.725,-2.818,-3.032,-3.192,2018
642,GNQ,GGXCNL_NGDP,Equatorial Guinea,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-204.115,-174.92,-184.922,-154.626,-114.382,-89.328,-97.301,-157.962,-208.495,-76.171,-160.185,-236.036,-557.499,-217.936,-487.312,-123.416,-6.355,3.214,-7.651,-0.191,-2.667,14.909,17.594,9.888,9.181,18.547,21.795,17.16,14.614,-6.475,-4.533,0.835,-7.239,-4.403,-7.541,-15.097,-10.917,-2.566,0.506,0.898,0.484,0.609,1.387,1.223,0.705,2017
643,ERI,GGXCNL_NGDP,Eritrea,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6.853,4.224,8.69,-22.935,-18.403,-5.648,-40.349,-59.742,-36.482,-39.305,-34.052,-22.207,-21.461,-28.683,-18.188,-20.232,-31.605,-21.046,-20.912,-7.996,-6.892,-9.296,-1.481,-3.163,3.913,1.8,10.862,0.551,-2.85,-3.954,-3.347,-2.768,-2.719,2018
939,EST,GGXCNL_NGDP,Estonia,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.23,-0.907,3.011,0.676,-3.393,-0.087,0.179,0.401,1.793,2.371,1.115,2.897,2.693,-2.647,-2.172,0.185,1.147,-0.256,-0.169,0.681,0.069,-0.331,-0.38,-0.462,-0.205,-0.131,-0.104,-0.1,-0.197,-0.241,2018
734,SWZ,GGXCNL_NGDP,Eswatini,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,5.112,-3.404,0.08,-0.442,0.953,-1.131,-2.282,2,3.424,5.651,5.307,3.186,-2.679,-3.062,-3.328,0.844,-0.937,1.995,1.019,-1.197,-1.158,-2.172,-3.583,-2.046,-3.856,-1.613,8.418,2.3,1.536,-2.915,-9.066,-3.763,3.295,0.557,-2.506,-5.471,-10.781,-8.614,-10.459,-8.777,-4.761,-5.963,-7.614,-8.365,-9.323,2019
644,ETH,GGXCNL_NGDP,Ethiopia,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.563,-2.195,-3.599,-7.59,-3.692,-4.711,-3.983,-3.544,-3.483,-4.33,-6.861,-6,-4.922,-4.122,-5.386,-2.757,-3.928,-1.764,-3.645,-8.539,-8.88,-3.76,-5.764,-5.592,-2.651,-4.122,-3.788,-3.567,-2.882,-0.932,-1.321,-1.607,-1.172,-1.931,-2.582,-1.947,-2.34,-3.29,-3.026,-2.797,-3.032,-3,-3,-2.985,-2.99,2018
819,FJI,GGXCNL_NGDP,Fiji,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-2.808,-1.831,-0.191,0.768,-3.578,-4.634,5.139,1.059,-1.395,-4.416,-3.596,-3.381,-0.953,-1.127,-3.182,-1.619,0.463,-3.768,-2.005,-1.286,-1.319,-0.575,-3.982,-3.765,-1.302,-1.829,-5.515,-3.142,-2.758,-2.757,-2.758,-2.757,-2.757,2018
172,FIN,GGXCNL_NGDP,Finland,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,2.88,4.779,2.401,0.359,2.668,2.553,3.345,0.719,4.872,7.138,6.63,0.301,-4.877,-8.079,-6.398,-5.97,-3.368,-1.326,1.538,1.595,6.736,4.898,3.979,2.342,2.161,2.593,3.931,5.129,4.184,-2.528,-2.61,-1.044,-2.183,-2.614,-3.211,-2.754,-1.719,-0.804,-0.67,-0.674,-1.008,-1.127,-0.994,-0.828,-0.718,2018
132,FRA,GGXCNL_NGDP,France,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-0.429,-2.408,-2.837,-2.541,-2.736,-2.972,-3.197,-2.014,-2.564,-1.782,-2.434,-2.863,-4.601,-6.359,-5.423,-5.109,-3.906,-3.653,-2.379,-1.603,-1.318,-1.379,-3.16,-4.015,-3.591,-3.356,-2.444,-2.636,-3.264,-7.175,-6.887,-5.155,-4.981,-4.084,-3.905,-3.625,-3.542,-2.771,-2.529,-3.254,-2.448,-2.44,-2.534,-2.527,-2.551,2018
646,GAB,GGXCNL_NGDP,Gabon,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.834,-2.031,-4.897,-5.354,-1.529,2.643,2.115,1.407,-13.113,1.114,11.132,4.067,3.724,7.752,6.993,7.977,8.672,8.062,10.994,6.77,2.699,1.743,6.204,-3.069,5.98,-1.117,-4.71,-1.699,-0.211,1.607,0.922,1.917,2.434,2.877,3.238,2018
648,GMB,GGXCNL_NGDP,The Gambia,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.091,-2.523,0.059,-1.732,-1.766,-3.332,-3.194,0.275,-0.454,-1.648,-2.928,-3.014,-2.823,-5.559,-3.937,-5.375,-6.397,-4.98,-6.197,-3.373,-3.824,-3.131,-2.677,-2.205,-1.89,2018
915,GEO,GGXCNL_NGDP,Georgia,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-5.025,-6.076,-6.819,-4.074,-4.835,-1.975,-0.727,-0.192,-0.563,3.693,2.205,3.376,0.832,-1.976,-6.543,-4.78,-0.866,-0.757,-1.355,-1.936,-1.265,-1.6,-0.522,-0.887,-1.86,-1.996,-2.181,-2.288,-2.255,-2.179,2017
134,DEU,GGXCNL_NGDP,Germany,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.189,-2.605,-3.095,-2.524,-9.432,-3.57,-2.942,-2.567,-1.719,-1.585,-3.025,-3.875,-3.704,-3.334,-3.319,-1.653,0.261,-0.116,-3.151,-4.379,-0.881,0.009,0.04,0.58,0.943,1.184,1.242,1.867,1.109,0.992,0.741,0.778,0.951,1.008,2018
652,GHA,GGXCNL_NGDP,Ghana,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-4.787,-3.782,-2.003,-1.153,-1.014,-1.236,-1.337,-0.984,-1.151,-0.864,-2.054,-1.572,-4.823,-5.851,-5.453,-4.878,-6.038,-6.624,-5.693,-6.092,-4.287,-3.9,-2.923,-2.141,-2.175,-2.016,-3.338,-5.278,-5.944,-5.378,-7.52,-5.494,-8.38,-9.069,-7.975,-4.077,-6.887,-4.061,-6.972,-7.069,-6.093,-4.911,-4.454,-4.371,-4.563,2018
174,GRC,GGXCNL_NGDP,Greece,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,-2.466,-6.977,-5.417,-6.088,-7.092,-9.428,-8.5,-7.978,-9.492,-11.733,-13.104,-9.494,-10.498,-11.293,-8.359,-9.731,-8.158,-6.056,-6.268,-5.793,-4.063,-5.466,-6.024,-7.83,-8.828,-6.188,-5.946,-6.707,-10.176,-15.141,-11.197,-10.279,-6.556,-3.622,-4.07,-2.771,0.555,1.057,0.958,-0.31,-1.001,-1.075,-1.159,-1.393,-1.63,2018
328,GRD,GGXCNL_NGDP,Grenada,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-7.777,-4.335,-1.457,-0.157,-2.846,-0.461,-3.019,-4.94,-2.394,-2.761,-2.506,-6.415,-14.467,-3.609,-1.019,0.516,-5.649,-6.352,-4.146,-5.228,-3.615,-5.175,-5.882,-7.25,-4.664,-1.194,2.302,3.014,4.519,3.872,4.293,4.519,2.83,0.898,-1.456,2018
258,GTM,GGXCNL_NGDP,Guatemala,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.557,0.039,-0.833,-2.416,-3.123,-1.979,-2.113,-1.089,-2.6,-1.092,-1.73,-1.945,-1.441,-1.615,-3.14,-3.29,-2.785,-2.393,-2.129,-1.893,-1.436,-1.085,-1.312,-1.759,-2.085,-2.446,-2.341,-2.237,-2.147,-2.026,2018
656,GIN,GGXCNL_NGDP,Guinea,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-3.933,-3.248,-2.259,-2.645,-2.605,-1.946,-2.216,-2.149,-0.502,-2.182,-2.455,-3.308,-3.529,-4.686,-3.884,-1.074,-2.18,1.263,0.374,-4.893,-9.65,-0.936,-2.51,-3.874,-3.207,-6.892,-0.147,-2.065,-1.07,-2.569,-2.03,-2.124,-2.202,-2.116,-2.061,2018
654,GNB,GGXCNL_NGDP,Guinea-Bissau,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.719,-0.427,-0.572,-9.38,4.146,5.887,-4.326,-9.367,-5.802,-3.015,-1.98,-4.215,-6.525,-6.477,-5.406,-4.902,-9.483,-0.806,2.873,-0.249,-1.424,-2.252,-1.775,-2.621,-3.476,-5.64,-1.438,-5.185,-4.894,-3.932,-3.649,-3.552,-3.318,-3.279,2018
336,GUY,GGXCNL_NGDP,Guyana,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-2.265,-3.535,-0.632,-3.026,-4.951,-3.244,-6.425,-3.812,-8.532,-8.022,-4.284,-3.595,-3.518,-2.732,-3.022,-4.639,-3.25,-5.433,-1.193,-4.275,-4.322,-3.543,-4.765,-0.533,-0.616,0.078,0.068,0.062,2018
263,HTI,GGXCNL_NGDP,Haiti,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.642,0.363,-2.819,-2.333,-2.724,-3.139,-3.646,-2.292,-1.382,-1.436,-2.5,-2.881,-3.516,-2.681,-2.474,-4.712,-7.009,-6.297,-2.503,0.026,0.236,-1.987,-2.559,-2.68,-2.408,-2.214,-1.951,-1.823,2018
268,HND,GGXCNL_NGDP,Honduras,General government net lending/borrowing,"Net lending (+)/ borrowing (?) is calculated as revenue minus total expenditure. This is a core GFS balance that measures the extent to which general government is either putting financial resources at the disposal of other sectors in the economy and nonresidents (net lending), or utilizing the financial resources generated by other sectors and nonresidents (net borrowing). This balance may be viewed as an indicator of the financial impact of general government activity on the rest of the economy and nonresidents (GFSM 2001, paragraph 4.17). Note: Net lending (+)/borrowing (?) is also equal to net acquisition of financial assets minus net incurrence of liabilities.",Percent of GDP,,See notes for:  General government net lending/borrowing (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-2.151,-2.156,-1.49,-5.209,-0.972,-0.244,0.127,0.08,2.893,1.381,1.508,-3.119,-5.015,-5.093,-2.475,-0.033,-1.355,-0.254,-0.267,-4.865,-3.371,-2.943,-3.483,-5.73,-2.897,-0.781,-0.397,-0.408,0.198,-0.097,-0.117,-0.561,-0.548,-0.669,-0.956,2018
